Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-08-12T01:33:00.000Z,demo-session-44,,Included,composer-2.5-fast,No,2087,1923,4903,1011,9924,Included
2026-08-12T03:44:00.000Z,demo-session-45,,Included,cursor-grok-4.6-high,No,2128,1952,4920,1024,10024,Included
2026-08-12T05:55:00.000Z,demo-session-46,,Included,cursor-grok-4.6-high-fast,No,2169,1981,4937,1037,10124,Included
2026-08-13T12:00:00.000Z,demo-session-47,,Included,gpt-5.4,No,2061,1889,4923,1003,9876,Included
2026-08-13T14:11:00.000Z,demo-session-48,,Included,auto,No,2102,1918,4940,1016,9976,Included
2026-08-13T02:22:00.000Z,demo-session-49,,Included,composer-2.5-fast,No,2143,1947,4957,1029,10076,Included
2026-08-13T04:33:00.000Z,demo-session-50,,Included,cursor-grok-4.6-high,No,2184,1976,4974,1042,10176,Included
2026-08-14T01:00:00.000Z,demo-session-51,,Included,auto,No,2158,1942,4994,1034,10128,Included
2026-08-14T03:11:00.000Z,demo-session-52,,Included,composer-2.5-fast,No,2199,1971,5011,1047,10228,Included
2026-08-14T05:22:00.000Z,demo-session-53,,Included,cursor-grok-4.6-high,No,2240,2000,5028,1060,10328,Included
2026-08-14T07:33:00.000Z,demo-session-54,,Included,cursor-grok-4.6-high-fast,No,2281,2029,5045,1073,10428,Included
2026-08-15T04:00:00.000Z,demo-session-55,,Included,composer-2.5-fast,No,2255,1995,5065,1065,10380,Included
2026-08-15T06:11:00.000Z,demo-session-56,,Included,cursor-grok-4.6-high,No,2296,2024,5082,1078,10480,Included
2026-08-15T08:22:00.000Z,demo-session-57,,Included,cursor-grok-4.6-high-fast,No,2337,2053,5099,1091,10580,Included
2026-08-16T07:00:00.000Z,demo-session-58,,Included,cursor-grok-4.6-high,No,2352,2048,5136,1096,10632,Included
2026-08-16T09:11:00.000Z,demo-session-59,,Included,cursor-grok-4.6-high-fast,No,2393,2077,5153,1109,10732,Included
2026-08-16T11:22:00.000Z,demo-session-60,,Included,claude-4.6-sonnet,No,2434,2106,5170,1122,10832,Included
2026-08-16T13:33:00.000Z,demo-session-61,,Included,claude-4.5-haiku,No,2475,2135,5187,1135,10932,Included
2026-08-17T10:00:00.000Z,demo-session-62,,Included,cursor-grok-4.6-high-fast,No,2449,2101,5207,1127,10884,Included
2026-08-17T12:11:00.000Z,demo-session-63,,Included,claude-4.6-sonnet,No,2490,2130,5224,1140,10984,Included
2026-08-17T14:22:00.000Z,demo-session-64,,Included,claude-4.5-haiku,No,2531,2159,5241,1153,11084,Included
2026-08-17T02:33:00.000Z,demo-session-65,,Included,gpt-5.4,No,2572,2188,5258,1166,11184,Included
2026-08-18T13:00:00.000Z,demo-session-66,,Included,claude-4.6-sonnet,No,2546,2154,5278,1158,11136,Included
2026-08-18T01:11:00.000Z,demo-session-67,,Included,claude-4.5-haiku,No,2587,2183,5295,1171,11236,Included
2026-08-18T03:22:00.000Z,demo-session-68,,Included,gpt-5.4,No,2628,2212,5312,1184,11336,Included
2026-08-18T05:33:00.000Z,demo-session-69,,Included,auto,No,2669,2241,5329,1197,11436,Included
2026-08-18T07:44:00.000Z,demo-session-70,,Included,composer-2.5-fast,No,2710,2270,5346,1210,11536,Included
2026-08-18T09:55:00.000Z,demo-session-71,,Included,cursor-grok-4.6-high,No,2751,2299,5363,1223,11636,Included
2026-08-19T02:00:00.000Z,demo-session-72,,Included,claude-4.5-haiku,No,2643,2207,5349,1189,11388,Included
2026-08-19T04:11:00.000Z,demo-session-73,,Included,gpt-5.4,No,2684,2236,5366,1202,11488,Included
2026-08-19T06:22:00.000Z,demo-session-74,,Included,auto,No,2725,2265,5383,1215,11588,Included
2026-08-19T08:33:00.000Z,demo-session-75,,Included,composer-2.5-fast,No,2766,2294,5400,1228,11688,Included
2026-08-20T05:00:00.000Z,demo-session-76,,Included,gpt-5.4,No,2740,2260,5420,1220,11640,Included
2026-08-20T07:11:00.000Z,demo-session-77,,Included,auto,No,2781,2289,5437,1233,11740,Included
2026-08-20T09:22:00.000Z,demo-session-78,,Included,composer-2.5-fast,No,2822,2318,5454,1246,11840,Included
2026-08-21T08:00:00.000Z,demo-session-79,,Included,auto,No,2837,2313,5491,1251,11892,Included
2026-08-21T10:11:00.000Z,demo-session-80,,Included,composer-2.5-fast,No,2878,2342,5508,1264,11992,Included
2026-08-21T12:22:00.000Z,demo-session-81,,Included,cursor-grok-4.6-high,No,2919,2371,5525,1277,12092,Included
2026-08-21T14:33:00.000Z,demo-session-82,,Included,cursor-grok-4.6-high-fast,No,2960,2400,5542,1290,12192,Included
2026-08-21T02:44:00.000Z,demo-session-83,,Included,claude-4.6-sonnet,No,3001,2429,5559,1303,12292,Included
2026-08-21T04:55:00.000Z,demo-session-84,,Included,claude-4.5-haiku,No,3042,2458,5576,1316,12392,Included
